id,id_post,texto,date,likes,comments,shares,reactions,url_post
1,828678261177929,A darle a los tiracos un rato https://www.facebook.com/100363925056739/videos/1322194378212251/

Himura transmitió en vivo — jugando a Call of Duty: Warzone.
8 de septiembre a las 21:13 ·

Pasen a saludar o a reírse de las manqueadas.,1.63116e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/828678261177929
2,730896164289473,Que tal si el viernes 19 de marzo hacemos un 12 horas jugando varios juegos, rifare un pase de Fortnite. Que me dicen?,1.61582e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/730896164289473
3,709543743091382,Ahora en búsqueda del contrato, This is the way https://www.epicgames.com/fortnite/es-MX/news/unlock-the-beskar-umbrella-protect-your-top-spot-at-all-costs-in-the-mandos-bounty-ltm

EPICGAMES.COM
Consigan el paraguas de beskar en el nuevo MPL Contrato de Mando,1.61229e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/709543743091382
4,828678261177929,A darle a los tiracos un rato https://www.facebook.com/100363925056739/videos/1322194378212251/

Himura transmitió en vivo — jugando a Call of Duty: Warzone.
8 de septiembre a las 21:13 ·

Pasen a saludar o a reírse de las manqueadas.,1.63116e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/828678261177929
5,730896164289473,Que tal si el viernes 19 de marzo hacemos un 12 horas jugando varios juegos, rifare un pase de Fortnite. Que me dicen?,1.61582e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/730896164289473
6,709543743091382,Ahora en búsqueda del contrato, This is the way https://www.epicgames.com/fortnite/es-MX/news/unlock-the-beskar-umbrella-protect-your-top-spot-at-all-costs-in-the-mandos-bounty-ltm

EPICGAMES.COM
Consigan el paraguas de beskar en el nuevo MPL Contrato de Mando,1.61229e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/709543743091382
7,614124682633289,Buena noche a todos, la próxima semana retomaré la página con toda, vuelve las ayudas de desafíos y noticias en general, perdón por la ausencia.,1.59927e+009,0,1,0,,https://facebook.com/FortniteCbia/posts/614124682633289
8,432165150829244,Cegames Col?Fortnite Colombia
14 de noviembre de 2019 a las 11:06 ·

??SIN RESTRICCIONES - CARGAMOS AL INSTANTE
??CUALQUIER PLATAFORMA ??CUALQUIER REGION
?? CONFIABLES
??Medios de pago: bancolombia ahorro - Nequi - Mercadolibre - paypal - BTC,1.57375e+009,1,0,0,,https://facebook.com/FortniteCbia/posts/432165150829244
11,339758023403291,Mañana voy a subir la guía para los retos de la semana siguiente de Fortnite,1.55908e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/339758023403291
13,330028844376209,Esta semana llega la temporada 9... solo espero que el pase de batalla sea mejor que el de la 8..,1.55724e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/330028844376209
14,307647599947667,Pequeños detalles de Fortnite que gustan,1.55234e+009,1,0,0,,https://facebook.com/FortniteCbia/posts/307647599947667
15,307645579947869,Están de acuerdo que últimamente, en las partidas de Fortnite esta jugando gente muy Pro, que hace falta un mejor nibmvel de emparejamiento?,1.55234e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/307645579947869
17,303572120355215,Hoy ya esta lista la temporada 8, Piratas, Ninjas y más... https://twitter.com/Fortnite_ES/status/1101075921564520448

TWITTER.COM
Fortnite on Twitter,1.55136e+009,1,0,0,,https://facebook.com/FortniteCbia/posts/303572120355215
18,300195910692836,Han probado islas destacadas, aquí tienen unos códigos 6297-3298-8409 / 6752-0807-9594 / 5001-0003-6492,1.55059e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/300195910692836
19,298292707549823,,1.55016e+009,2,0,0,,https://facebook.com/FortniteCbia/posts/298292707549823
20,298248624220898,Se debe completar 13 de 18 desafios posibles, entonces tendremos el pase gratis y utilizaremos esos pavos para comprar SKINS u otras cosas... https://twitter.com/Fortnite_ES/status/1095998652110290944

TWITTER.COM
Fortnite on Twitter,1.55015e+009,0,0,0,,https://facebook.com/FortniteCbia/posts/298248624220898
